,precision,recall,f1-score,support
0,1.0,0.9994931576279777,0.9997465145754119,1973.0
1,1.0,1.0,1.0,2112.0
2,1.0,0.9996181748759069,0.9998090509833875,2619.0
3,1.0,1.0,1.0,2049.0
4,1.0,1.0,1.0,2900.0
7,1.0,1.0,1.0,4831.0
8,0.99949924887331,1.0,0.9997495617330328,1996.0
9,0.9994397759103641,1.0,0.9997198094704399,1784.0
10,0.999484270242393,1.0,0.9997420686097498,1938.0
11,1.0,0.9995138551288284,0.99975686846584,2057.0
accuracy,0.9998763345562471,0.9998763345562471,0.9998763345562471,0.9998763345562471
macro avg,0.9998423295026067,0.9998625187632714,0.9998523873837861,24259.0
weighted avg,0.9998763995508873,0.9998763345562471,0.9998763366378294,24259.0
